Provider,Fraud,inp_total_claims,inp_unique_bene,inp_sum_InscClaimAmtReimbursed,inp_mean_InscClaimAmtReimbursed,inp_sum_DeductibleAmtPaid,inp_mean_DeductibleAmtPaid,out_total_claims,out_unique_bene,out_sum_InscClaimAmtReimbursed,out_mean_InscClaimAmtReimbursed,out_sum_DeductibleAmtPaid,out_mean_DeductibleAmtPaid
PRV51001,0,5.0,5.0,97000.0,19400.0,5340.0,1068.0,20.0,19.0,7640.0,382.0,0.0,0.0
PRV51003,1,62.0,53.0,573000.0,9241.935483870968,66216.0,1068.0,70.0,66.0,32670.0,466.7142857142857,70.0,1.0
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,310.0,2.0805369127516777
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,3700.0,3.1759656652360513
PRV51007,0,3.0,3.0,19000.0,6333.333333333333,3204.0,1068.0,69.0,56.0,14710.0,213.18840579710144,60.0,0.8695652173913043
PRV51008,0,2.0,2.0,25000.0,12500.0,2136.0,1068.0,41.0,34.0,10630.0,259.2682926829268,180.0,4.390243902439025
PRV51011,0,1.0,1.0,5000.0,5000.0,1068.0,1068.0,57.0,52.0,11630.0,204.03508771929825,300.0,5.2631578947368425
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,100.0,2.0833333333333335
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,230.0,5.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,120.0,4.0
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,700.0,87.5,0.0,0.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,170.0,28.333333333333332,0.0,0.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,142720.0,277.126213592233,1050.0,2.0388349514563107
PRV51021,1,29.0,23.0,269000.0,9275.862068965518,30972.0,1068.0,228.0,187.0,79830.0,350.13157894736844,520.0,2.280701754385965
PRV51023,0,9.0,9.0,54000.0,6000.0,8544.0,1068.0,27.0,27.0,11610.0,430.0,80.0,2.962962962962963
PRV51024,0,9.0,9.0,61000.0,6777.777777777777,9612.0,1068.0,30.0,29.0,3050.0,101.66666666666667,90.0,3.0
PRV51025,0,13.0,12.0,86000.0,6615.384615384615,13884.0,1068.0,74.0,66.0,32350.0,437.1621621621622,400.0,5.405405405405405
